Sample	Type	MethPipe_precision	MethPipe_recall	MethPipe_F1	MethylSeekR_precision	MethylSeekR_recall	MethylSeekR_F1	MMSeekR_precision	MMSeekR_recall	MMSeekR_F1
EAC_1	EAC/GEJ_Tumor	0.818371870803237	0.710839338123231	0.760824816852903	0.694315808352048	0.900850741708397	0.784212671598595	0.858065853314135	0.680717258146455	0.759171621558385
EAC_2	EAC/GEJ_Tumor	0.969795971067283	0.446916308150083	0.611864019824333	0.72457176079513	0.908719224907468	0.806264523129477	0.871574392002549	0.805409434646926	0.837186652799173
EAC_3	EAC/GEJ_Tumor	0.874868090643241	0.823545998258219	0.848431627788801	0.720179702939033	0.928123561942086	0.811034917386246	0.79118263465895	0.901965149139996	0.842949646682317
EAC_4	EAC/GEJ_Tumor	0.932369020735	0.537491283111982	0.681888231115721	0.724082828756589	0.901094218012918	0.80294864076743	0.829931190019993	0.835998455620872	0.83295377442113
EAC_6	EAC/GEJ_Tumor	0.578082329824346	0.00705255533783293	0.0139351035950612	0.69921151941556	0.933097160171275	0.799398166884518	0.793628665948924	0.899593365265984	0.843295290529952
ESCC_1	ESCC_Tumor	0.953319696482749	0.396786806734886	0.560347909240291	0.865826737810226	0.5108628100733	0.642583044222767	0.920296737608848	0.491808226286378	0.641042298912462
ESCC_10	ESCC_Tumor	0.648491341988743	0.0325286537484578	0.0619498706483348	0.788235754934175	0.492074816750127	0.605901369938501	0.83856333153045	0.59753024892953	0.697819366439998
ESCC_11	ESCC_Tumor	0.897293886298069	0.336725036649975	0.48968668329284	0.789629978314305	0.659294514841425	0.718600197479057	0.871565960534962	0.56473230205385	0.685374986665417
ESCC_12	ESCC_Tumor	0.855716865205182	0.490883662094492	0.623878306880327	0.763987930965965	0.737435114304376	0.750476728026521	0.799942035003054	0.695514161405037	0.744081993152491
ESCC_13	ESCC_Tumor	0.841818420957427	0.497922451556717	0.625733379533513	0.78929761482749	0.669645794324697	0.724565222919635	0.833702809916294	0.578713162783947	0.68319078695511
ESCC_14	ESCC_Tumor	0.913944789250827	0.53532267000508	0.675176085261971	0.732082654714501	0.83510645402424	0.780208267684174	0.789313203434367	0.803733693301401	0.796458180192656
ESCC_15	ESCC_Tumor	0.935623144436291	0.626439248856956	0.75043232886258	0.808718228681009	0.838665735539589	0.823419776848343	0.858722278387201	0.801419038391756	0.82908168796847
ESCC_16	ESCC_Tumor	0.829713460418259	0.581658355468467	0.683887493663354	0.780201891094166	0.748299256840119	0.763917640598488	0.816810074762594	0.697746000435445	0.752598034650457
ESCC_17	ESCC_Tumor	0.858270208921834	0.608200687277741	0.711913931996957	0.781985136505202	0.797831264242688	0.789828729188511	0.848427854006205	0.625382468974526	0.720027398114644
ESCC_19	ESCC_Tumor	0.886748464622552	0.585059084113506	0.704983807151495	0.753513017914574	0.847062739676319	0.797554003063481	0.774745057409275	0.834812635169461	0.803658006099976
ESCC_2	ESCC_Tumor	0.947626608057556	0.309240326583932	0.466309286494089	0.735854174793421	0.885372335437985	0.803718573767523	0.845292412043573	0.79849969881704	0.821230047242095
ESCC_20	ESCC_Tumor	0.838385508491048	0.717973208505697	0.773521331454408	0.725292945140391	0.864137062196096	0.78865066338525	0.783289397084129	0.827432846360403	0.804756224098875
ESCC_21	ESCC_Tumor	0.909497924119289	0.669444673053197	0.771223148384141	0.718342436992924	0.906017038246607	0.801338000771296	0.828052946390025	0.839697280644459	0.833834462789684
ESCC_22	ESCC_Tumor	0.847754758204672	0.715471144495246	0.776015886195844	0.660470030522749	0.915295992452282	0.767278343685785	0.767331270195605	0.836447070905	0.800399876866357
ESCC_3	ESCC_Tumor	0.870880459066929	0.724096226141229	0.79073413383244	0.738435441399215	0.872345774003919	0.799824371577496	0.899626812965775	0.601892075622324	0.721240676833079
ESCC_4	ESCC_Tumor	0.917892973627928	0.634247812613397	0.750153099380258	0.764154759666725	0.884332025546121	0.819862837249899	0.856415810355258	0.801657104289136	0.828132240184473
ESCC_5	ESCC_Tumor	0.891287897123892	0.752529053632339	0.816051978814354	0.714611398187202	0.925335083097467	0.806434850247004	0.910785650068653	0.675195697801002	0.775492792990632
ESCC_6	ESCC_Tumor	0.935800346412555	0.392402934175194	0.552943675266264	0.709821494342923	0.89607319544234	0.792146606717495	0.784352312155732	0.852622545177444	0.817063819532959
ESCC_7	ESCC_Tumor	0.850806455079856	0.297312944335583	0.440643668852392	0.77744955394919	0.623519911459467	0.692028326115159	0.844327590730587	0.3985134828362	0.541462518407286
ESCC_8	ESCC_Tumor	0.389139563436519	0.00574826547644967	0.0113291793478691	0.760486348819083	0.844529813484288	0.800307697093622	0.855900207191863	0.759147999854852	0.804626050826311
ESCC_9	ESCC_Tumor	0.852864214212925	0.716482063284709	0.778747075343147	0.787175601823162	0.823854748530372	0.80509762879011	0.867896629483345	0.70577207779955	0.77848305004844
