barcode	disease	samples	x	y	type	color	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-OR-A5L5	ACC	TCGA-OR-A5L5-01	53	286	1	#C1A72F	ACC	Others	-0.0545881659120401
TCGA-OR-A5L6	ACC	TCGA-OR-A5L6-01	50	283	1	#C1A72F	ACC	Others	-0.0755468096415404
TCGA-OR-A5L8	ACC	TCGA-OR-A5L8-01	48	285	1	#C1A72F	ACC	Others	-0.0687697426028751
TCGA-OR-A5L9	ACC	TCGA-OR-A5L9-01	51	286	1	#C1A72F	ACC	Others	-0.0458769691541755
TCGA-OR-A5LA	ACC	TCGA-OR-A5LA-01	53	284	1	#C1A72F	ACC	Others	-0.0475808992456062
TCGA-OR-A5LB	ACC	TCGA-OR-A5LB-01	52	288	1	#C1A72F	ACC	Others	-0.0907349469579524
TCGA-OR-A5LC	ACC	TCGA-OR-A5LC-01	55	285	1	#C1A72F	ACC	Others	-0.034463351268254
TCGA-OR-A5LD	ACC	TCGA-OR-A5LD-01	83	284	1	#C1A72F	ACC	Others	-0.0531624804231119
TCGA-OR-A5LE	ACC	TCGA-OR-A5LE-01	46	285	1	#C1A72F	ACC	Others	-0.0527338321063739
TCGA-OR-A5LG	ACC	TCGA-OR-A5LG-01	155	225	1	#C1A72F	ACC	Others	-0.034448247466102
TCGA-OR-A5LH	ACC	TCGA-OR-A5LH-01	53	287	1	#C1A72F	ACC	Others	-0.0450519046664941
TCGA-OR-A5LJ	ACC	TCGA-OR-A5LJ-01	47	285	1	#C1A72F	ACC	Others	-0.0553559136294614
TCGA-OR-A5LK	ACC	TCGA-OR-A5LK-01	54	287	1	#C1A72F	ACC	Others	-0.0536526053165
TCGA-OR-A5LL	ACC	TCGA-OR-A5LL-01	103	277	1	#C1A72F	ACC	Others	-0.0457716551495024
TCGA-OR-A5LM	ACC	TCGA-OR-A5LM-01	50	287	1	#C1A72F	ACC	Others	-0.0515257087935393
TCGA-OR-A5LN	ACC	TCGA-OR-A5LN-01	52	285	1	#C1A72F	ACC	Others	-0.0597838122512291
TCGA-OR-A5LO	ACC	TCGA-OR-A5LO-01	46	286	1	#C1A72F	ACC	Others	-0.0730632088472967
TCGA-OR-A5LP	ACC	TCGA-OR-A5LP-01	54	286	1	#C1A72F	ACC	Others	-0.0520644522566255
TCGA-OR-A5LR	ACC	TCGA-OR-A5LR-01	52	283	1	#C1A72F	ACC	Others	-0.0463943772081182
TCGA-OR-A5LS	ACC	TCGA-OR-A5LS-01	48	282	1	#C1A72F	ACC	Others	-0.0592215013345174
TCGA-OR-A5LT	ACC	TCGA-OR-A5LT-01	48	283	1	#C1A72F	ACC	Others	-0.0759621982835279
TCGA-OU-A5PI	ACC	TCGA-OU-A5PI-01	50	286	1	#C1A72F	ACC	Others	-0.0799625230159686
TCGA-PA-A5YG	ACC	TCGA-PA-A5YG-01	51	282	1	#C1A72F	ACC	Others	-0.0468377536692719
TCGA-PK-A5H9	ACC	TCGA-PK-A5H9-01	81	152	1	#C1A72F	ACC	Others	0.0393406579014339
TCGA-PK-A5HA	ACC	TCGA-PK-A5HA-01	47	287	1	#C1A72F	ACC	Others	-0.0562728152426356
TCGA-PK-A5HB	ACC	TCGA-PK-A5HB-01	48	286	1	#C1A72F	ACC	Others	-0.0683363478042088
TCGA-2F-A9KR	BLCA	TCGA-2F-A9KR-01	193	208	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.147528252025145
TCGA-2F-A9KT	BLCA	TCGA-2F-A9KT-01	301	186	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0940654821062261
TCGA-4Z-AA7Q	BLCA	TCGA-4Z-AA7Q-01	317	179	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.111617097722495
TCGA-4Z-AA7W	BLCA	TCGA-4Z-AA7W-01	324	174	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.107826401600369
TCGA-4Z-AA81	BLCA	TCGA-4Z-AA81-01	361	176	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.00769964067490059
TCGA-4Z-AA82	BLCA	TCGA-4Z-AA82-01	297	158	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.186256492242772
TCGA-4Z-AA84	BLCA	TCGA-4Z-AA84-01	327	201	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0178632995250059
TCGA-4Z-AA86	BLCA	TCGA-4Z-AA86-01	415	142	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.11467699347144
TCGA-BL-A13I	BLCA	TCGA-BL-A13I-01	159	227	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0698230502537479
TCGA-BT-A0S7	BLCA	TCGA-BT-A0S7-01	273	150	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.130591074034017
TCGA-BT-A0YX	BLCA	TCGA-BT-A0YX-01	325	149	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.165682383878661
TCGA-BT-A20J	BLCA	TCGA-BT-A20J-01	245	226	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0136499626026332
