SampleName	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-55-A491_T	LUAD	Other cancers	0.0819946580629334
TCGA-55-A492_T	LUAD	Other cancers	0.0468744858457103
TCGA-55-A493_T	LUAD	Other cancers	-0.0222878887384252
TCGA-55-A494_T	LUAD	Other cancers	0.146927492045837
TCGA-55-A4DF_T	LUAD	Other cancers	-0.0159307487215048
TCGA-55-A4DG_T	LUAD	Other cancers	0.0210657008455185
TCGA-55-A57B_T	LUAD	Other cancers	-0.017912481686804
TCGA-56-5897_T	LUSC	Squamous cancers	-0.1664158762029
TCGA-56-5898_T	LUSC	Squamous cancers	-0.217570264252479
TCGA-56-6545_T	LUSC	Squamous cancers	-0.193215191279837
TCGA-56-6546_T	LUSC	Squamous cancers	-0.0509760706461145
TCGA-56-7221_T	LUSC	Squamous cancers	-0.172909637831852
TCGA-56-7222_T	LUSC	Squamous cancers	-0.178151365378045
TCGA-56-7223_T	LUSC	Squamous cancers	-0.115381326573142
TCGA-56-7579_T	LUSC	Squamous cancers	-0.265278205702264
TCGA-56-7580_T	LUSC	Squamous cancers	-0.205387810601059
