SampleName	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-3B-A9HO_T	SARC	Other cancers	-0.0897336469177671
TCGA-3B-A9HP_T	SARC	Other cancers	-0.140595575647624
TCGA-3B-A9HQ_T	SARC	Other cancers	-0.123950041118887
TCGA-3B-A9HR_T	SARC	Other cancers	-0.169133762303345
TCGA-3B-A9HS_T	SARC	Other cancers	-0.133227275065292
TCGA-3B-A9HT_T	SARC	Other cancers	-0.0836872355243866
TCGA-3B-A9HU_T	SARC	Other cancers	-0.101195313879825
TCGA-3B-A9HV_T	SARC	Other cancers	-0.173222171258171
TCGA-3B-A9HX_T	SARC	Other cancers	-0.139090535757216
TCGA-3B-A9HY_T	SARC	Other cancers	-0.21279365702648
TCGA-3B-A9HZ_T	SARC	Other cancers	-0.113031160765641
TCGA-3B-A9I0_T	SARC	Other cancers	-0.12985859844356
TCGA-3B-A9I1_T	SARC	Other cancers	-0.192172461040491
TCGA-3B-A9I3_T	SARC	Other cancers	0.059295828687426
TCGA-3C-AAAU_T	BRCA	Other cancers	-0.0038235412559342
TCGA-3C-AALI_T	BRCA	Other cancers	-0.000672537471503309
TCGA-3C-AALJ_T	BRCA	Other cancers	0.018939055412347
TCGA-3C-AALK_T	BRCA	Other cancers	-0.0226187802113309
TCGA-3E-AAAY_T	PAAD	Other cancers	0.0808668932808816
TCGA-3E-AAAZ_T	PAAD	Other cancers	0.122563648108345
TCGA-3G-AB0O_T	THYM	Other cancers	-0.0439700606249669
TCGA-3G-AB0Q_T	THYM	Other cancers	-0.246903922357173
TCGA-3G-AB0T_T	THYM	Other cancers	-0.0926997863135068
TCGA-3G-AB14_T	THYM	Other cancers	-0.164712890583161
TCGA-3G-AB19_T	THYM	Other cancers	-0.190721205429183
TCGA-3H-AB3K_T	MESO	Other cancers	-0.0692940187769834
TCGA-3H-AB3L_T	MESO	Other cancers	-0.0645254232561104
TCGA-3H-AB3M_T	MESO	Other cancers	-0.0567085218811638
TCGA-3H-AB3O_T	MESO	Other cancers	-0.0406761886314131
TCGA-3H-AB3S_T	MESO	Other cancers	-0.0962046388412026
TCGA-3H-AB3T_T	MESO	Other cancers	-0.0833560095892265
TCGA-3H-AB3U_T	MESO	Other cancers	-0.0748186088183761
TCGA-3H-AB3X_T	MESO	Other cancers	-0.0628393617596504
TCGA-3K-AAZ8_T	LIHC	Other cancers	0.125224525108894
TCGA-3L-AA1B_T	COAD	GI cancers	0.184124813475497
TCGA-3M-AB46_T	STAD	GI cancers	0.313348969086219
TCGA-3M-AB47_T	STAD	GI cancers	0.179178312634979
TCGA-3N-A9WB_T	SKCM	Other cancers	-0.0943327292001401
TCGA-3N-A9WC_T	SKCM	Other cancers	-0.0892246099349698
TCGA-3N-A9WD_T	SKCM	Other cancers	-0.0856443693205737
TCGA-3P-A9WA_T	OV	Other cancers	-0.0322027489384639
TCGA-3Q-A9WF_T	THYM	Other cancers	-0.0552809147804438
TCGA-3R-A8YX_T	SARC	Other cancers	-0.118893765296868
TCGA-3S-A8YW_T	THYM	Other cancers	-0.258654014379738
TCGA-3S-AAYX_T	THYM	Other cancers	-0.0382835897422596
TCGA-3T-AA9L_T	THYM	Other cancers	-0.0472544439279236
TCGA-3U-A98D_T	MESO	Other cancers	-0.0730742145731942
TCGA-3U-A98E_T	MESO	Other cancers	-0.0827472848696331
TCGA-3U-A98F_T	MESO	Other cancers	-0.0696187051325888
TCGA-3U-A98G_T	MESO	Other cancers	-0.0655940845083992
TCGA-3U-A98H_T	MESO	Other cancers	-0.0669211529852355
TCGA-3U-A98I_T	MESO	Other cancers	-0.0705978433053293
TCGA-3U-A98J_T	MESO	Other cancers	-0.0591309664383021
TCGA-3X-AAV9_T	CHOL	Other cancers	0.0148479379311542
TCGA-3X-AAVA_T	CHOL	Other cancers	0.0656003263701452
TCGA-3X-AAVB_T	CHOL	Other cancers	0.142791150717513
TCGA-3X-AAVC_T	CHOL	Other cancers	0.196463460676947
TCGA-3X-AAVE_T	CHOL	Other cancers	0.0575905543613268
TCGA-3Z-A93Z_T	KIRC	Other cancers	0.0218737713624946
TCGA-41-5651_T	GBM	Other cancers	-0.12778051568318
TCGA-41-6646_T	GBM	Other cancers	-0.127405323472418
TCGA-43-5668_T	LUSC	Squamous cancers	-0.0205421752474931
TCGA-43-5670_T	LUSC	Squamous cancers	-0.180800584598278
TCGA-43-6143_T	LUSC	Squamous cancers	-0.198236879211566
TCGA-43-6647_T	LUSC	Squamous cancers	-0.144240318202827
TCGA-43-6770_T	LUSC	Squamous cancers	-0.264748586817232
TCGA-43-6771_T	LUSC	Squamous cancers	-0.150693727457551
TCGA-43-6773_T	LUSC	Squamous cancers	-0.085527293269255
TCGA-43-7656_T	LUSC	Squamous cancers	-0.151481565736347
TCGA-43-7657_T	LUSC	Squamous cancers	-0.27618269955543
TCGA-43-7658_T	LUSC	Squamous cancers	-0.132065184214856
TCGA-43-8115_T	LUSC	Squamous cancers	-0.186439901340506
TCGA-43-8116_T	LUSC	Squamous cancers	-0.200374905425981
TCGA-43-8118_T	LUSC	Squamous cancers	-0.175997815733642
TCGA-43-A474_T	LUSC	Squamous cancers	-0.280778379272518
TCGA-43-A475_T	LUSC	Squamous cancers	-0.179129569503048
TCGA-43-A56U_T	LUSC	Squamous cancers	-0.0726106589939394
TCGA-43-A56V_T	LUSC	Squamous cancers	-0.203890608123717
TCGA-44-2656_T	LUAD	Other cancers	0.0118422723139315
TCGA-44-2665_T	LUAD	Other cancers	-0.025973068412712
TCGA-44-2666_T	LUAD	Other cancers	0.0622791805701083
TCGA-44-2668_T	LUAD	Other cancers	-0.0258524896035176
TCGA-44-3917_T	LUAD	Other cancers	0.0511771086583318
TCGA-44-3918_T	LUAD	Other cancers	0.00576546408181888
TCGA-44-4112_T	LUAD	Other cancers	0.00172784571284512
TCGA-44-5643_T	LUAD	Other cancers	-0.202157003770055
TCGA-44-5644_T	LUAD	Other cancers	0.164421891346346
TCGA-44-5645_T	LUAD	Other cancers	0.0402057687974088
TCGA-44-6144_T	LUAD	Other cancers	0.0119074009612046
TCGA-44-6145_T	LUAD	Other cancers	0.0118373881771899
TCGA-44-6146_T	LUAD	Other cancers	0.244310342507981
TCGA-44-6147_T	LUAD	Other cancers	0.00260987940435986
TCGA-44-6148_T	LUAD	Other cancers	0.0302154883638004
TCGA-44-6774_T	LUAD	Other cancers	-0.00827990101617893
TCGA-44-6775_T	LUAD	Other cancers	0.00119841611798843
TCGA-44-6776_T	LUAD	Other cancers	0.0906320784374658
TCGA-44-6777_T	LUAD	Other cancers	-0.0143530197389564
TCGA-44-6778_T	LUAD	Other cancers	-0.00777937074653656
TCGA-44-6779_T	LUAD	Other cancers	-0.0343452056864755
TCGA-44-7659_T	LUAD	Other cancers	0.0303883959192383
TCGA-44-7660_T	LUAD	Other cancers	-0.0740229285114474
TCGA-44-7661_T	LUAD	Other cancers	-0.0097683109331772
TCGA-44-7662_T	LUAD	Other cancers	-0.0277417411812504
TCGA-44-7667_T	LUAD	Other cancers	0.00986382779290151
TCGA-44-7669_T	LUAD	Other cancers	0.030743956954047
TCGA-44-7670_T	LUAD	Other cancers	0.118342098223632
TCGA-44-7671_T	LUAD	Other cancers	0.0642587805951315
TCGA-44-7672_T	LUAD	Other cancers	-0.00664951485814858
TCGA-44-8117_T	LUAD	Other cancers	0.01962102252913
TCGA-44-8119_T	LUAD	Other cancers	0.0413599202224621
TCGA-44-8120_T	LUAD	Other cancers	0.0116698179305109
TCGA-44-A479_T	LUAD	Other cancers	0.00907622933010699
TCGA-44-A47A_T	LUAD	Other cancers	0.0566335224953636
TCGA-44-A47B_T	LUAD	Other cancers	0.0725493232264504
TCGA-44-A47F_T	LUAD	Other cancers	0.0452058523584093
TCGA-44-A47G_T	LUAD	Other cancers	-0.00614574551493374
TCGA-44-A4SS_T	LUAD	Other cancers	0.00667788164850514
TCGA-44-A4SU_T	LUAD	Other cancers	0.00856027235525569
TCGA-46-6025_T	LUSC	Squamous cancers	-0.327579791792074
TCGA-46-6026_T	LUSC	Squamous cancers	-0.0925072054603795
TCGA-49-4487_T	LUAD	Other cancers	-0.0126878690304356
TCGA-49-4488_T	LUAD	Other cancers	0.00515041900248492
TCGA-49-4490_T	LUAD	Other cancers	-0.0127396718959726
TCGA-49-4512_T	LUAD	Other cancers	0.00887998444675386
TCGA-49-4514_T	LUAD	Other cancers	0.0595583714990612
TCGA-49-6742_T	LUAD	Other cancers	0.101286416765956
TCGA-49-6743_T	LUAD	Other cancers	-0.00254654693149547
TCGA-49-6744_T	LUAD	Other cancers	0.0116493935459886
TCGA-49-6745_T	LUAD	Other cancers	-0.000488075159338908
TCGA-49-6761_T	LUAD	Other cancers	-0.00973624247320426
TCGA-49-6767_T	LUAD	Other cancers	-0.0269302448526701
TCGA-49-AAQV_T	LUAD	Other cancers	-0.013092955866061
TCGA-49-AAR0_T	LUAD	Other cancers	0.018098035704842
TCGA-49-AAR2_T	LUAD	Other cancers	0.0942757837805089
TCGA-49-AAR3_T	LUAD	Other cancers	-0.0379947231206182
TCGA-49-AAR4_T	LUAD	Other cancers	-0.0310223618977808
TCGA-49-AAR9_T	LUAD	Other cancers	0.0304901669828465
TCGA-49-AARE_T	LUAD	Other cancers	-0.00190121705599322
TCGA-49-AARN_T	LUAD	Other cancers	-0.00307226596907995
TCGA-49-AARO_T	LUAD	Other cancers	-0.0245567103141747
TCGA-49-AARQ_T	LUAD	Other cancers	0.0286685723600195
TCGA-49-AARR_T	LUAD	Other cancers	-0.0309008767825898
TCGA-4A-A93W_T	KIRP	Other cancers	0.0438839615504694
