SampleName	ESCC_specificPMDs	EAC_specificPMDs	SharedPMDs	SharedHMDs	Type
200526590086_R02C01	0.668151287276365	0.641881487621283	0.583876560514616	0.668240246170102	EAC_Tumor
200526590086_R04C01	0.579993477759705	0.410841370042076	0.359697419513284	0.61223263718005	EAC_Tumor
200526590087_R01C01	0.579770222223869	0.473563325447476	0.436927805564999	0.589872252182509	EAC_Tumor
200526590087_R02C01	0.620814558618022	0.597908655506484	0.562825598637341	0.652395791967058	ESCC_Normal
200526590087_R04C01	0.618161790463262	0.534689027210433	0.477992908842313	0.682468445379156	EAC_Tumor
200526590087_R08C01	0.608014437471588	0.411572564688314	0.316119035914066	0.641051414961509	EAC_Tumor
200550900002_R01C01	0.603130823417057	0.521872987566907	0.460991833379532	0.643975307456138	EAC_Tumor
200550900002_R03C01	0.659858352463588	0.443959128656199	0.367470033968046	0.706838125855742	EAC_Tumor
200550900002_R06C01	0.693277556546611	0.66793781896098	0.625483151741955	0.702208074037646	ESCC_Normal
200550900011_R03C01	0.649532595658578	0.607883280546566	0.530376804740913	0.690330381896848	EAC_Tumor
200550900011_R03C01	0.649532595658578	0.607883280546566	0.530376804740913	0.690330381896848	EAC_Tumor
200550900011_R05C01	0.673450599706854	0.614654151715702	0.565623547335571	0.697130881119611	EAC_Tumor
200550900012_R02C01	0.526229492614616	0.370190542440392	0.299851196869496	0.629138523110143	EAC_Tumor
200550900012_R06C01	0.660526683391103	0.394144444755042	0.269518681225529	0.689052797810684	EAC_Tumor
200550900012_R08C01	0.601791432363577	0.614933377054359	0.535603689885455	0.654944820670974	EAC_Tumor
200550900017_R03C01	0.707263318889814	0.707191402380984	0.679698356702625	0.706819272684065	ESCC_Normal
200550900017_R04C01	0.607493576996649	0.460787674578347	0.417595257558133	0.647662440560976	EAC_Tumor
200550900017_R06C01	0.628692237592528	0.543949706878992	0.481123055854985	0.683508376948568	EAC_Tumor
200550900017_R06C01	0.628692237592528	0.543949706878992	0.481123055854985	0.683508376948568	EAC_Tumor
200550900017_R08C01	0.609362434590065	0.588623169172444	0.536201470938142	0.645480820279253	EAC_Tumor
200550940003_R03C01	0.598169965364146	0.561483050657915	0.498139062431953	0.696993888630191	EAC_Tumor
200550940003_R07C01	0.672356907226083	0.662368141560588	0.636043028581027	0.706091366094936	EAC_Tumor
200550940003_R08C01	0.670260264063763	0.630883177170225	0.580902496248075	0.668036054889192	EAC_Tumor
