TF	non_tsDMRs	tsDMRs	non_tsDMRs_FDR	tsDMRs_FDR	ESCCMean	EACMean	EACNonmamlignant	EACvsESCC	EACTvsEACN	deltaOR
HNF4A	2.81689136882308	4.6679776062473	8.26012091581152e-226	1.94848324864812e-197	0.149945542422086	27.9364002971989	13.7562416679448	7.39982273070795	0.909656531299779	1.85108623742422
HNF4G	2.68987423336049	4.34791061035965	7.77738842363489e-210	6.93201482730889e-182	0.470139593142232	11.2815644855803	6.17813970431371	4.50246754570955	0.735019913486744	1.65803637699915
JUN	1.13758410913296	1.86243670771337	0.000602857045823562	2.03833269519988e-28	78.0136179800651	55.9660687599204	62.4560415354556	-0.605209522040262	-0.625557518748887	0.724852598580409
FOSL1	1.20153584486755	1.87893849221729	0.00000053632377977472	1.50006657267059e-29	43.731453433248	31.3024361755002	7.53145243295222	-0.563221844333723	1.66811248133109	0.67740264734974
FOSL2	1.17044175277265	1.83696733215239	0.0000209833947403588	2.34407234148593e-27	52.920416395402	45.5399994124449	62.3099339770778	-0.349955513479772	-0.85504755513568	0.666525579379736
FOSB	1.15336905769212	1.74574352149061	0.000109790588047833	0.0000000000000000000000329365587467861	16.3965425928314	18.4689645852873	17.5022827837101	0.0799662717304737	-0.375889549057205	0.592374463798484
JUND	1.07579291883488	1.66399169933397	0.0517640297434057	0.0000000000000000000874784850814354	117.184294665797	140.518148513586	121.030058468633	0.183151059044005	-0.195683983838011	0.588198780499093
FOS	1.15857346103638	1.69940323802257	0.0000699285318504554	0.00000000000000000000863506167607144	106.157306173387	111.541623050691	97.1920200381	-0.0812517710409749	-0.236848148623671	0.540829776986187
JUNB	1.13971976103809	1.53444870906444	0.000319018373894822	0.00000000000003152700633491	179.859364129864	120.584892789278	105.666191532511	-0.717008933543348	-0.252323157545122	0.394728948026351
TF7L2	1.45718452226325	1.72244293944599	0.0000000000000000000000532351013596171	0.00000000000000000184753859562304	6.52680643966717	16.1472990456156	9.71393820462556	1.22818106948083	0.479438455584253	0.265258417182737
ELF1	1.48161105862512	1.73774351154427	1.71485728577312e-39	5.17426763543432e-28	21.7807201192471	29.0589362993013	19.6791202614778	0.28293349369543	0.217139638672484	0.256132452919146
PPARA	1.52166629532821	1.72403425932271	8.62759254641912e-36	0.000000000000000000000120863174331509	3.95539663826914	5.49044778263897	6.55540120496444	0.352102261095396	-0.585813888395279	0.202367963994496
PPARG	1.45041529115874	1.62805484841903	8.75722100573281e-32	0.000000000000000000030420278722128	1.19398493916997	9.7032725103581	7.84209431214333	2.90031602766899	0.113899976082179	0.177639557260288
EHF	1.81564934297148	1.98367547103843	2.0342758189915e-87	1.09782620827441e-41	23.7598997296733	34.0182543458006	28.0960533005041	0.38228438490167	-0.172982198545566	0.168026128066948
ELK1	1.4795758014954	1.63752502821876	9.58630631695134e-34	0.0000000000000000000842303898411988	10.3885714247933	13.1629111430063	6.42739716496	0.212374674255156	0.689707425469925	0.157949226723357
GABPA	1.32142245782424	1.47900421609807	0.0000000000000000000106102369077167	0.0000000000000103784668770464	6.48636176530171	6.72286671259641	6.06580739078667	-0.0728770242111501	-0.235737569969192	0.157581758273829
ETS1	1.38876966738064	1.53836947021958	5.20350592382192e-29	0.00000000000000000568461195337138	9.07616747424592	15.7007010805532	8.41353805790667	0.658911269144026	0.530307291320022	0.149599802838944
ETV4	1.44642752750515	1.54888867024401	2.94084180663061e-35	0.00000000000000000568461195337138	13.7508217590769	18.8321234114106	3.83779043488022	0.356712356538997	2.12540937674232	0.102461142738857
ERR1	1.37416226870075	1.47341993493993	0.00000000000000000000311306528149748	0.00000000000598258774732337	14.5170338342686	19.8240732865565	16.6988680976722	0.335637558456391	-0.0787146467657176	0.0992576662391811
ELF3	1.85702563200142	1.94443015108791	1.160037326357e-97	2.03691070333578e-40	20.0465203533684	60.4861919735628	25.1856038075967	1.47883431164872	0.98174457432687	0.0874045190864847
SPI1	1.36777662305651	1.40752655631325	5.13343576975095e-26	0.0000000000138754228390438	9.58971687156026	8.73691466384235	3.88830493277444	-0.228304775056505	0.79863139258813	0.0397499332567344
ETV5	1.3963280245549	1.41750656792035	1.25113011149632e-31	0.00000000000146121997961553	7.60504377545529	5.7884998968701	3.59696308005078	-0.45502764249235	0.327045630504807	0.0211785433654532
NR4A1	1.80219327596673	1.74424113043772	2.39630358892239e-65	0.00000000000000000000187471551412591	11.416986186731	20.1881521099424	13.1965235612744	0.739025656313193	0.176050623603856	-0.0579521455290015
FOXK1	1.54853466189392	1.44622005914972	5.13656461518281e-47	0.0000000000021976800500185	9.65520546713605	8.73744455428833	7.11214407376111	-0.285126565304723	0.00380504956313926	-0.102314602744199
FOXC1	1.69268437564266	1.54466639487	1.89807468795087e-60	0.00000000000000439388032394919	9.54336438332143	8.65155915347513	3.06133519880444	-0.220399673977374	1.079063279829	-0.148017980772658
NR4A2	1.74445522441256	1.58674500173731	6.20769541531145e-58	0.00000000000000965513156118729	4.25113798915406	10.5901542248227	5.57822380224333	1.19007273638038	0.454780712562761	-0.157710222675244
SOX9	1.4674663505673	1.29295640216341	4.29005547105022e-25	0.0000937653344459379	31.9810305802044	79.4962866135674	36.6549203149	1.19955379386874	0.878556781185206	-0.174509948403897
FOXO3	1.69905150051017	1.50295864602254	1.99725100865497e-56	0.00000000000265058112623846	11.9969610019629	15.0806188578476	20.4829415524889	0.206385688558469	-0.809447788261112	-0.196092854487628
