TF	non_tsDMRs	tsDMRs	non_tsDMRs_FDR	tsDMRs_FDR	ESCCMean	EACMean	EACNonmamlignant	EACvsESCC	EACTvsEACN	deltaOR
IRF7	1.35888905749611	1.15194203918554	0.00000000000000000000113060201306263	0.0177287155871115	13.6285392490226	16.7542210045838	5.58467697224333	0.193306982419486	1.28130270695788	-0.206947018310569
EVI1	1.44977820967644	1.20353370903885	3.89012423440377e-30	0.00158839065115268	2.981665457261	14.3581582306822	20.5305343480444	2.178026623141	-0.848959563062727	-0.246244500637589
FOXJ2	1.42734717964347	1.09855184319718	2.538004064388e-35	0.084355751061327	8.41656295784539	6.20022385400795	6.96407107599667	-0.573201398528647	-0.517823316042266	-0.32879533644629
HNF1B	2.68122398695064	2.31623144490812	4.27686266279682e-223	9.49284323946658e-57	0.0410840612593945	6.2092338082609	4.3583534036756	7.03487532567649	0.236851355984182	-0.364992542042519
FOXA3	2.01081817729639	1.6027294563251	4.47476955939076e-112	0.00000000000000000534558888647316	0.281230274180016	15.8712946185229	17.3524406515172	5.81878106753468	-0.431140591952412	-0.408088720971293
FOXM1	2.0293330733196	1.46509614992434	5.48328377264441e-127	0.000000000000361510715545283	26.9832811822388	17.8347718507285	5.05104250996956	-0.704825492550605	1.59494569778821	-0.564236923395258
FOXA1	2.20020285993414	1.58420487041505	5.18100459251288e-160	0.000000000000000000753940494682533	11.7619536236466	16.6909709267944	23.7076293788269	0.451773723328699	-0.854812425519253	-0.615997989519093
FOXA2	2.55820149896278	1.82952375475856	1.38314422749243e-212	1.50006657267059e-29	0.593531811380712	13.6157592479417	9.55455334140862	4.38844147605954	0.160617221377915	-0.728677744204215
GATA6	3.46119622450856	2.49065960409142	0	8.19679623876354e-64	1.63180854445837	25.1550995780529	33.8790556202836	3.87459387027515	-0.76469499143484	-0.970536620417143
GATA4	3.68540740608509	2.65892405992474	0	4.28127164448409e-74	0.789682566876599	19.6855373374176	24.0661387941756	4.46727326777545	-0.561073417708285	-1.02648334616035
