Sample	hypoEAC	hypoESCC	Type	Source
GSM2150595	0.491213009607016	0.664809079847796	BE	GSE81334
GSM2150596	0.362208298152866	0.658800038380328	BE	GSE81334
GSM2150597	0.384604241785028	0.673622261740553	BE	GSE81334
GSM2150598	0.338531733489871	0.656235082372448	BE	GSE81334
GSM2150599	0.415475301953311	0.651671566433896	BE	GSE81334
GSM2150600	0.339840564259115	0.691507927941083	BE	GSE81334
GSM2150601	0.462581163421382	0.620611724462036	BE	GSE81334
GSM2150602	0.292162646879657	0.669246648744661	BE	GSE81334
GSM2150603	0.469062476817317	0.585245148217538	BE	GSE81334
GSM2150604	0.376416511959835	0.739390237861086	BE	GSE81334
GSM2150605	0.510703646599345	0.711141895448019	BE	GSE81334
GSM2150606	0.517526462603334	0.66712454949241	BE	GSE81334
GSM2150607	0.516863739867992	0.629629237459261	BE	GSE81334
GSM2150608	0.48678578512087	0.664767749219447	BE	GSE81334
GSM2150609	0.502962688196544	0.66837476962873	BE	GSE81334
GSM2150610	0.453810978950762	0.697674604179968	BE	GSE81334
GSM2150611	0.474726038634684	0.689813230471191	BE	GSE81334
GSM2150612	0.514179022541302	0.643478552358405	BE	GSE81334
GSM2150613	0.643885451992642	0.638623542473371	BE	GSE81334
GSM2150614	0.527439914613707	0.659291849485397	BE	GSE81334
GSM2150615	0.688832988872951	0.590675825926255	BE	GSE81334
GSM2150616	0.472983861762942	0.673051664937359	BE	GSE81334
GSM2150617	0.439827292555168	0.709045542047082	BE	GSE81334
GSM2150618	0.433239174512097	0.663858611218884	BE	GSE81334
GSM2150619	0.687490959930734	0.60887898403574	BE	GSE81334
GSM2150620	0.65930728224426	0.445799887604177	BE	GSE81334
GSM2150621	0.578511681784988	0.600390284841911	BE	GSE81334
GSM2150622	0.486138454415468	0.638024602007092	BE	GSE81334
GSM2150623	0.56325683299989	0.625719512096667	BE	GSE81334
GSM2150624	0.339069500619674	0.716990487478239	BE	GSE81334
GSM2150625	0.379088394576909	0.676572019049433	BE	GSE81334
GSM2150626	0.427299283657224	0.698007447237799	BE	GSE81334
GSM2150627	0.475926951660367	0.677351043495977	BE	GSE81334
GSM2150628	0.371457909140539	0.709089826200169	BE	GSE81334
GSM2150629	0.538943203564967	0.634279610512889	BE	GSE81334
GSM2150630	0.495771436647616	0.667100190803469	BE	GSE81334
GSM2150631	0.462373768676881	0.655444214224695	BE	GSE81334
GSM2150632	0.477071136862541	0.688168482074964	BE	GSE81334
GSM2150633	0.632755842669724	0.438499290261099	BE	GSE81334
GSM2150634	0.520086445136936	0.665311205003774	BE	GSE81334
GSM2150635	0.490058991022117	0.671481880707741	BE	GSE81334
GSM2150636	0.4040196438569	0.640914163795651	BE	GSE81334
GSM2150637	0.429204298299382	0.697413254752809	BE	GSE81334
GSM2150638	0.415278191739164	0.687786043433155	BE	GSE81334
GSM2150639	0.386671414049038	0.696159429604406	BE	GSE81334
GSM2150640	0.433685314065234	0.655823692017678	BE	GSE81334
GSM2150641	0.394698583368784	0.704136222784173	BE	GSE81334
GSM2150642	0.447522607092676	0.63094848654641	BE	GSE81334
GSM2150643	0.511157139920248	0.554600238157139	BE	GSE81334
GSM2150644	0.489506761277436	0.638856195035908	BE	GSE81334
GSM2150645	0.400120764527158	0.686812983138454	BE	GSE81334
GSM2150646	0.26828954359422	0.644727204444841	BE	GSE81334
GSM2150647	0.447788838691369	0.653918566296206	BE	GSE81334
GSM2150648	0.469576257621859	0.617350183810208	BE	GSE81334
GSM2150649	0.417542038577565	0.633778941190238	BE	GSE81334
GSM2150650	0.655758096767892	0.28469080165	BE	GSE81334
GSM2150651	0.427433081459407	0.62972876749402	BE	GSE81334
GSM2150652	0.431278234835748	0.649313675797195	BE	GSE81334
GSM2150653	0.386457627945432	0.690208559452523	BE	GSE81334
GSM2150654	0.379026864008203	0.685536398939349	BE	GSE81334
GSM2150655	0.303514709288259	0.67181839882315	BE	GSE81334
GSM2150656	0.365850286072258	0.667952906557487	BE	GSE81334
GSM2150657	0.409036662480871	0.629600631218953	BE	GSE81334
GSM2150658	0.438518521643444	0.64003442050065	BE	GSE81334
GSM2150659	0.432196992488017	0.585774410043669	BE	GSE81334
GSM2150660	0.51789818812869	0.618563830765877	BE	GSE81334
GSM2150661	0.471468517180365	0.67614921699836	BE	GSE81334
GSM2150662	0.37694962960186	0.662241344593025	BE	GSE81334
GSM2150663	0.357294392224334	0.695916033580241	BE	GSE81334
GSM2150664	0.302787708637032	0.640035747086602	EAC	GSE81334
GSM2150665	0.517841830924862	0.678384850654549	EAC	GSE81334
GSM2150666	0.448047987344074	0.679675490123704	EAC	GSE81334
GSM2150667	0.389761302357392	0.614009716332233	EAC	GSE81334
GSM2150668	0.558534559794344	0.711632820221332	EAC	GSE81334
GSM2150669	0.478976124697327	0.629297446858356	EAC	GSE81334
GSM2150670	0.407542274270362	0.704072759982164	EAC	GSE81334
GSM2150671	0.459566505566876	0.633927821409825	EAC	GSE81334
GSM2150672	0.445813571734146	0.592979916440901	EAC	GSE81334
GSM2150673	0.640840955380927	0.491826542545472	EAC	GSE81334
GSM2150674	0.321073618626174	0.663790694585316	EAC	GSE81334
GSM2150675	0.384920592689073	0.691484640940119	EAC	GSE81334
GSM2150676	0.466715442658207	0.651350813107177	EAC	GSE81334
GSM2150677	0.427002491113515	0.661183001672197	EAC	GSE81334
GSM2150678	0.547357721598211	0.678041664481359	EAC	GSE81334
GSM2150679	0.370027292657858	0.711001722786107	EAC	GSE81334
GSM2150680	0.490130121995025	0.643847689122078	EAC	GSE81334
