Sample	ESCC_specificPMDs	EAC_specificPMDs	SharedPMDs	SharedHMDs	Type	Source
GSM2150595	0.650553843474809	0.580320117031733	0.560133449070165	0.631602487007601	BE	GSE81334
GSM2150596	0.623035294389286	0.445735015345126	0.401798585882378	0.578658616703556	BE	GSE81334
GSM2150597	0.64803605699442	0.535476468539016	0.487711206296008	0.607970849399729	BE	GSE81334
GSM2150598	0.610339077181005	0.460031690892322	0.422458697780159	0.570007516643968	BE	GSE81334
GSM2150599	0.612403284875337	0.49670803872085	0.456724034403985	0.589441452682316	BE	GSE81334
GSM2150600	0.640879377719362	0.483090003535439	0.453442982379906	0.592264570262366	BE	GSE81334
GSM2150601	0.599594429323481	0.498931908919538	0.467138516680245	0.583472694405167	BE	GSE81334
GSM2150602	0.605556344936254	0.454414519038546	0.415407222189362	0.566373665015669	BE	GSE81334
GSM2150603	0.649957110605432	0.557621236336392	0.495898032079937	0.612333787169721	BE	GSE81334
GSM2150604	0.687425722979976	0.547930419848118	0.516059775240973	0.627836250443511	BE	GSE81334
GSM2150605	0.703146290455418	0.592269278831681	0.575655725027024	0.645059151872954	BE	GSE81334
GSM2150606	0.62205009115318	0.525007473852786	0.488139861931859	0.629648535340176	BE	GSE81334
GSM2150607	0.616036865790484	0.557302082163252	0.518478698746325	0.616320361515128	BE	GSE81334
GSM2150608	0.6460806878397	0.536971269569622	0.493739689578352	0.630564024470959	BE	GSE81334
GSM2150609	0.670651165123611	0.56497082051215	0.527368744147701	0.641061088586497	BE	GSE81334
GSM2150610	0.664709630786603	0.540204310586939	0.5091240573758	0.631380782440105	BE	GSE81334
GSM2150611	0.651192473920552	0.499348511944888	0.461070561994121	0.61995285956915	BE	GSE81334
GSM2150612	0.677875417470969	0.638251303115532	0.596151011846767	0.644448476781073	BE	GSE81334
GSM2150613	0.731801530218221	0.67762973406037	0.655172130262694	0.683660157605883	BE	GSE81334
GSM2150614	0.669068771055906	0.636925524509688	0.603014306440813	0.65385153050803	BE	GSE81334
GSM2150615	0.747176748888771	0.70482268585293	0.683157815620197	0.675562466696084	BE	GSE81334
GSM2150616	0.650036956838362	0.542653310464327	0.506755994746249	0.62607624588517	BE	GSE81334
GSM2150617	0.685109025075091	0.542225870433082	0.50780532883035	0.635766670004437	BE	GSE81334
GSM2150618	0.611647765167687	0.470090140227989	0.433935806790479	0.596855188514077	BE	GSE81334
GSM2150619	0.7251342262165	0.684223038028445	0.664644593146498	0.681676879654935	BE	GSE81334
GSM2150620	0.614353902737981	0.604898182991601	0.523190963904179	0.628015801429812	BE	GSE81334
GSM2150621	0.663091372136046	0.588922173978866	0.537951479977843	0.639587013259552	BE	GSE81334
GSM2150622	0.687833611774586	0.638235889171453	0.595749414364756	0.64198732551338	BE	GSE81334
GSM2150623	0.693419370523065	0.634000611683401	0.596048561777629	0.651936515441435	BE	GSE81334
GSM2150624	0.663626597713238	0.508831345234974	0.45742924307709	0.617484747895823	BE	GSE81334
GSM2150625	0.633765524767511	0.480562860470084	0.456333890517002	0.598617954237474	BE	GSE81334
GSM2150626	0.630817092128927	0.516653764798502	0.47494775843519	0.609163861906881	BE	GSE81334
GSM2150627	0.637054753986783	0.522438188970171	0.496547695379436	0.616107463068802	BE	GSE81334
GSM2150628	0.644871389167051	0.429943669154251	0.378187054320778	0.624950006003574	BE	GSE81334
GSM2150629	0.668517092609323	0.631901127479437	0.596325780268376	0.646572522768266	BE	GSE81334
GSM2150630	0.644334437423596	0.516296780103312	0.486717005771743	0.618318892564647	BE	GSE81334
GSM2150631	0.663495498981764	0.605747036159297	0.564735885620406	0.63232445622483	BE	GSE81334
GSM2150632	0.67903851153419	0.574276303876263	0.52988277726559	0.640275585070982	BE	GSE81334
GSM2150633	0.648824115388786	0.636197544712289	0.587094780305562	0.627490984536252	BE	GSE81334
GSM2150634	0.699207556215451	0.651964015708374	0.619158046473324	0.659631055623364	BE	GSE81334
GSM2150635	0.702896879949726	0.657214058757652	0.627492144102475	0.655278580234958	BE	GSE81334
GSM2150636	0.632318328961383	0.521033792248368	0.481742036688933	0.589297105979442	BE	GSE81334
GSM2150637	0.671678388509126	0.545010667532263	0.532219731130612	0.616877096419766	BE	GSE81334
GSM2150638	0.643422539736484	0.513941491128104	0.473889970979466	0.603173106122752	BE	GSE81334
GSM2150639	0.638001731389093	0.509274746040708	0.485250748565349	0.595898204756459	BE	GSE81334
GSM2150640	0.616777093942882	0.491046030391256	0.450019493918544	0.59158291763345	BE	GSE81334
GSM2150641	0.67285183436426	0.524281841949122	0.493847394008326	0.616199368584063	BE	GSE81334
GSM2150642	0.647580230231729	0.549623131516426	0.50098866875491	0.609126635231627	BE	GSE81334
GSM2150643	0.673020856539074	0.645928251805715	0.606799282138029	0.626879027708782	BE	GSE81334
GSM2150644	0.677863368536455	0.616253939657073	0.586304547031957	0.631385704900916	BE	GSE81334
GSM2150645	0.676027259957916	0.563996808118503	0.538900719878894	0.619739072639448	BE	GSE81334
GSM2150646	0.57553447210362	0.374483807845139	0.334883047621032	0.546315052277043	BE	GSE81334
GSM2150647	0.685758812569868	0.632585932981516	0.60106816032943	0.623690229359545	BE	GSE81334
GSM2150648	0.645460734953547	0.576843895808164	0.534570960711104	0.610483895750805	BE	GSE81334
GSM2150649	0.635872679678824	0.517031460523191	0.480673463526331	0.599579104969004	BE	GSE81334
GSM2150650	0.548705094860399	0.592904774956985	0.474491583286361	0.591288945229134	BE	GSE81334
GSM2150651	0.623037894408155	0.487821028424948	0.448024446896824	0.591661605399546	BE	GSE81334
GSM2150652	0.625184754895208	0.522311210609785	0.480779162818437	0.597826607179149	BE	GSE81334
GSM2150653	0.65766371828526	0.514001048227492	0.463830748385378	0.607357548631104	BE	GSE81334
GSM2150654	0.648922592682858	0.504391974293243	0.477091994423811	0.602629915474262	BE	GSE81334
GSM2150655	0.603038403949525	0.453471714368878	0.425705826954921	0.559984173031958	BE	GSE81334
GSM2150656	0.642026342844017	0.508028353014366	0.465972043527395	0.595255652006577	BE	GSE81334
