V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	type
0.00596454714808044	0.00573872506946984	0.00594584257952468	0.00618304007312614	0.00626424321755027	0.00616735056672761	0.00621760928702011	0.0060037147833638	0.0059122000511883	0.00585905182815356	0.00564151321937843	0.00590221151371115	0.00558302776965265	0.00552004413162706	0.00560350724862888	0.00527355385740402	0.00547333292687386	0.00560734597806216	0.00588418215722121	0.00615450402193784	0.00627792431809872	0.00617024936014625	0.0065324894332724	0.0064314123583181	0.00582459249360146	0.00581803544789762	0.00583169058500914	0.00510782654478976	0.00451703237659963	0.00443425486288848	0.00461090828153565	0.00468191469469835	0.0049833768738574	0.00534326705667276	0.00535783021206581	0.00559304389396709	0.00532054071297989	0.00514939151736746	0.00519652811700183	0.00519994791590494	0.00541888040767824	0.00502304185557587	0.00479053572212066	0.00524484052102377	0.00536802402193784	0.0052614670749543	0.00489613193784278	0.00484313499085923	0.00472305926873857	0.00461093000914077	0.00444234247714808	0.00478909186106033	0.00465025558135283	0.00467590113345521	0.00479254203290676	0.00487188895063985	0.00484076865082267	0.00488899665447898	0.00465351053564899	0.00489035380255941	0.00542384585923218	0.00559972930530165	0.00598751371480804	0.00630594352102377	0.00626627303473492	0.00655990144789762	0.00664432378976234	0.00664457566727605	0.00675931009506399	0.0067494489250457	0.00660602360146252	0.0065784326142596	0.00615756518829982	0.00603503985923218	0.00624490844606947	0.00617417962340037	0.00609542478976234	0.00662426435100548	0.00621722115173675	0.00597604797074954	0.00569024336380256	0.00529902049725777	0.00482982874223035	0.00476435140767825	0.00471995469835466	0.00496117288299817	0.00471235643510055	0.00495699614259598	0.00489732312797075	0.00476621734003656	0.00517403411882998	0.00515301487568556	0.00550490431992687	0.00547533499817185	0.00538467619744059	0.00515022100548446	0.00501215765996344	0.00460433980073126	0.00415518691042048	0.0045759744606947	EAC Tumor
0.00935274875868373	0.00949669393967093	0.0091816331809872	0.00892212529616088	0.00877510800182815	0.00888320619744058	0.00892509958683729	0.00881109290585009	0.00875026595978062	0.0089592305667276	0.00915807848263254	0.00930534269835466	0.00973422444241316	0.0103583845502742	0.0107780628884826	0.0108519960438757	0.0106051381809872	0.0108220139670932	0.0104970508775137	0.0101358164808044	0.00982050170018282	0.00920260920658135	0.00942878219378428	0.00944370590493602	0.00954624595429616	0.00937869462522852	0.00938620926691042	0.00936303828153565	0.00900008670932358	0.00891111588665448	0.00865368319926874	0.00898939458866545	0.00896056099634369	0.00912928265082267	0.0092474284095064	0.00961840987202925	0.00993373585923218	0.0104091792687386	0.0104632638281536	0.0105925117787934	0.0105655172486289	0.0103021450365631	0.0100556598720293	0.0102329674442413	0.010408624606947	0.0104348287202925	0.010258964606947	0.0102190076416819	0.00974068882815357	0.00952854265082267	0.00940057393053016	0.00911182118829982	0.00951137190127971	0.00955011352833638	0.00956258359232176	0.00988434166361974	0.00999287390676417	0.0101132579890311	0.0100955599634369	0.0100325580987203	0.00957680957404022	0.00958970700182815	0.00955460356489945	0.0089736092321755	0.00908215534186472	0.00876304416819013	0.00890167868372943	0.00893267859780622	0.00918665661243144	0.00960348954296161	0.00971968689396709	0.00979821473491773	0.00978984378610603	0.0100744804314442	0.0101885971846435	0.0101095955027422	0.0098353405904936	0.00972088347531993	0.00978250612431444	0.0100083824223035	0.00977331923034735	0.00957794330895795	0.0098502371535649	0.0096344513071298	0.00949083937842779	0.00940086005484461	0.00935026511882998	0.00940262729433272	0.00939000906764168	0.00958872200548446	0.0100421511608775	0.00994505979890311	0.0100114558226691	0.0103257159780622	0.0105754668738574	0.0105522266727605	0.0103381491974406	0.0103044023711152	0.0100384351736746	0.00971823734917733	EAC Tumor
0.0109222444241316	0.0113900703491773	0.0112150333820841	0.0108344891956124	0.0108606554076782	0.010984281261426	0.011556545393053	0.0118817971846435	0.0115974527787934	0.0116276477276051	0.0113334461060329	0.0118322838318099	0.0118806641243144	0.0112260996014625	0.0112646163619744	0.0112002510365631	0.0104272815173675	0.0105064641864717	0.0109719943272395	0.0113172284917733	0.0111121264351005	0.0105214851005484	0.0103493955027422	0.0105097937477148	0.0103958235850091	0.0104426691882998	0.0107002666179159	0.0104636516819013	0.0103316768555759	0.0105789043235832	0.0110160755667276	0.0109964429250457	0.0113339276416819	0.0114577669835466	0.0108128313711152	0.0101372827330896	0.00980209658500914	0.0102463438025594	0.0107878349177331	0.011232304606947	0.011325384738574	0.0114844894332724	0.0109693672522852	0.0107628571297989	0.0107384276234004	0.0105445027714808	0.0107324924625229	0.0103394212431444	0.0100547979597806	0.00988178226691042	0.00985680314442413	0.0100644761060329	0.0100663565265082	0.0104184034186472	0.0106222667184644	0.0106760393071298	0.0107836967824497	0.0110560983272395	0.0110824697897623	0.0114660414259598	0.0113005419926874	0.0110101959232176	0.0111325678190128	0.0112951247202925	0.0109729348263254	0.0105029088117002	0.0102669767458867	0.0103337709506399	0.0108293334862888	0.0108011808592322	0.010875849250457	0.0111124396526508	0.0106341026965265	0.0108280428702011	0.0108470545886654	0.0112984320146252	0.01100192488117	0.0108022946435101	0.0109360983180987	0.010966953833638	0.0109076769323583	0.0113153597897623	0.0109293206581353	0.0107398832175503	0.0107393801736746	0.0107029546800731	0.0108092388117002	0.0105924942047532	0.0105565775685558	0.0110570031126143	0.0111383921389397	0.0108752568866545	0.0106524197989031	0.0104337347897623	0.0101810208537477	0.0103057156124314	0.0107356281608775	0.0109308125959781	0.0111656606398537	0.0114206670566728	EAC Tumor
0.0307022120109689	0.0311872700365631	0.0317027942943327	0.031877544369287	0.0321256521060329	0.031743379250457	0.0314704114442413	0.0313477100365631	0.0313205053199269	0.0310248393601463	0.0308546078354662	0.0305806395063985	0.0310264921755027	0.0311722022669104	0.0314339248080439	0.0318759417001828	0.031448829226691	0.0315740058500914	0.0317051563071298	0.0315772538025594	0.0307620032906764	0.0303008772394881	0.0300061592815356	0.029753906904936	0.0298211751078611	0.0302514709140768	0.0306783027367459	0.0308080898903108	0.0310669551005484	0.0310818706398537	0.0308292264716636	0.0313157203107861	0.0308153231261426	0.0305488541078611	0.0301581425045704	0.0306359744003656	0.0308126175868373	0.0307604786892139	0.0305595267824497	0.0307150374040219	0.0300274325393053	0.0296068149670932	0.0288539904936015	0.0288795279890311	0.0293274157221207	0.0294966455521024	0.0294120402193784	0.0297526403107861	0.0298261797806216	0.0302300338391225	0.0306902004570384	0.0303686381718464	0.0296758198994516	0.029651538221755	0.0297853291956124	0.0297109358500914	0.0295977292870201	0.0301532422760512	0.0302977881535649	0.0309558680566728	0.0314609518281536	0.0314950688117002	0.0318882504021938	0.0317808457586837	0.0317731745521024	0.0316724673345521	0.0308350177330896	0.030754013583181	0.0307335951553931	0.0304864368299817	0.0303730923716636	0.0301439802833638	0.0299831755027422	0.0297731858683729	0.0296107090676417	0.0291229751681901	0.029688290786106	0.0299007841499086	0.0301761920968921	0.0300573759908592	0.0303854906343693	0.0301559035228519	0.0302272035100548	0.0307294609323583	0.0305718367458867	0.0307302652468007	0.0307546570749543	0.0309803524497258	0.0309019368372943	0.0308956273254113	0.030888174369287	0.0309907121572212	0.030778823857404	0.0309245220365631	0.0301645675502742	0.0301215540219378	0.0301442593053016	0.0309282865630713	0.0309309663893967	0.0308770636014625	EAC Tumor
0.0020553668738574	0.00241444857404022	0.00256845491224863	0.00244312366179159	0.00266335518647166	0.00285647929981718	0.00288698694698355	0.00271604296160878	0.00274455257952468	0.00261295919195612	0.00257081692870201	0.00282172881352834	0.00279079862888483	0.00241586528519196	0.00236096137111517	0.00269436136563071	0.00290136204204753	0.00297760725776965	0.00283598186471664	0.00267562711151737	0.00228847820840951	0.00199181071297989	0.00159811798903108	0.00137108722120658	0.000902194442413163	0.0012287989213894	0.00140043417001828	0.00167746914076782	0.0020482962285192	0.0024058431261426	0.0027253857678245	0.0027662299213894	0.00272443196343693	0.00270760190127971	0.00279296959963437	0.00266166645338208	0.00277935195429616	0.00291941925045704	0.00302203098720293	0.00281428126142596	0.00268315131627057	0.00244956928702011	0.00234668723948812	0.00200677893967093	0.00181487433272395	0.00204893634552102	0.00219968201096892	0.00213132588665448	0.00227359301645338	0.00164271140767825	0.00139095363802559	0.00146966597806216	0.00172389758683729	0.00183288590676417	0.00209594197440585	0.00213460912248629	0.00266465942778793	0.00259785036563071	0.00273236967093236	0.00253000773491773	0.00208825076965265	0.00210759431444241	0.002183233	0.00221961140767825	0.00206630608957952	0.00211286177330896	0.00250256890310786	0.00271205466179159	0.00268905277879342	0.0026092834369287	0.00216651020109689	0.00162463623400366	0.00149883287202925	0.00135401799085923	0.00177985899451554	0.00165236583363803	0.00158898113345521	0.00200188908043876	0.00242434071297989	0.0023105486654479	0.00214211753382084	0.00189835162705667	0.00186540811700183	0.00194422009140768	0.00213606780621572	0.00211511955575868	0.00198312928702011	0.00200299962888483	0.00216823382084095	0.00222820347349177	0.00282944221206581	0.00301633696709324	0.00244487455210238	0.00249076371115174	0.0025417633820841	0.00216137025228519	0.00247359043875686	0.00244816658318099	0.0025545902559415	0.00263442904936015	EAC Tumor
0.00976512526508227	0.00975212038391225	0.00978020981718464	0.00984671223034735	0.00980891151919561	0.0098636002559415	0.00992635672760512	0.00989484204753199	0.00958426555210238	0.00926016118829982	0.00916344034734918	0.00941709751371115	0.00941937821572212	0.00945240568555759	0.0100456603290676	0.0106990495795247	0.0112533009872029	0.0112969837915905	0.0110630468555759	0.0107535739433272	0.0101435140347349	0.00953603973857404	0.00934506272394881	0.00949252848263254	0.00968496880621572	0.00976766050639854	0.00927329808043876	0.00924483540767825	0.00900997806215722	0.00903217578976234	0.00874474862888483	0.00844022146252285	0.00833095595978062	0.00827964575868373	0.00811084460694698	0.00842098493053016	0.0085834389213894	0.0085211863071298	0.00825635299817185	0.00811415036563071	0.00825223937294333	0.00824274780073126	0.00847071505850091	0.00872363180987203	0.00886053414990859	0.00901111968921389	0.00937813672760512	0.00936522513711152	0.00900918592321755	0.00912205347349177	0.00955739714808044	0.00931867864716636	0.00900959659414991	0.00863425594149909	0.00837683084277879	0.00814232387568556	0.00804016031078611	0.0082044715904936	0.00844023727605119	0.00808346455210238	0.00797533809323583	0.00817450360146252	0.0082205139250457	0.00800481368372943	0.00805401919561243	0.00795734484460695	0.00778398669104205	0.00761661444241316	0.00780133846435101	0.00772638568007313	0.00781652123765996	0.00784622938025594	0.00843070073126143	0.00845761458866545	0.00834275374223035	0.00815407568555759	0.00806015213893967	0.00821302555210238	0.00783828030530165	0.0082403423583181	0.00837459422303474	0.00839941171297989	0.00863547743144424	0.00846896508226691	0.0082849649488117	0.00790076367458867	0.00787303425959781	0.00800103904936015	0.00810283876416819	0.00817662802559415	0.00859328184095064	0.0093289607678245	0.00958633371846435	0.00950124696526508	0.00960135012797075	0.00963626372943327	0.00939998137111517	0.00948064447897623	0.00950585654478976	0.00967999720292505	EAC Tumor
0.0292942541681901	0.0296989965813528	0.0296516304570384	0.0301118672394881	0.0306524771590494	0.0309441845521024	0.0308049225063985	0.0311185823400366	0.0313156349725777	0.0314141755575868	0.0305919681645338	0.0305227241316271	0.0305020939378428	0.0303229831261426	0.0304348705374771	0.031009928190128	0.030918399250457	0.0309680725137112	0.0308216384277879	0.0305701554296161	0.0308059561243144	0.0309093441681901	0.0308777973034735	0.0312277480987203	0.0312339802559415	0.0313294758683729	0.0317919726691042	0.0325860710621572	0.0327650044862888	0.0332563209890311	0.0340303290310786	0.034105341297989	0.034285593071298	0.0345517695063985	0.0349229110054845	0.0346305719378428	0.0343555944606947	0.0342594226508227	0.0334935898720293	0.0329817129981718	0.0329593353564899	0.0324061974771481	0.0322462126691042	0.0307989430420475	0.0306544138299817	0.0303559158500914	0.0303516214003656	0.0302212340219378	0.0307405366179159	0.0310811453199269	0.0313800875502742	0.0312742410603291	0.0315630619561243	0.0316883437294333	0.0313226832687386	0.0316651047038391	0.0316985901279708	0.0316654421755027	0.0318268966910421	0.0324566756672761	0.0323332283546618	0.0324642295265082	0.0321188898829982	0.0318357707915905	0.0318063232906764	0.0317490778062157	0.0315060568372943	0.0314996844789762	0.0317116789031079	0.0313532292321755	0.0312769872943327	0.0308917539488117	0.0306842986654479	0.0301936416636197	0.0301827101462523	0.0307189426691042	0.0308730968921389	0.0310870853162706	0.0309576554954296	0.0308762136745887	0.0309266630723949	0.0302840532723949	0.0302611725521024	0.0304046758135283	0.0306865484277879	0.0309800568372943	0.0310450394149909	0.031079096179159	0.0316131810786106	0.0320988286526508	0.0325530725959781	0.0327296019616088	0.0324049190219378	0.0320974808592322	0.0323487568738574	0.032171657833638	0.0316178541919561	0.0313401736928702	0.030875595321755	0.0307286987641682	EAC Tumor
0.0916693493053016	0.0925078959232176	0.0928225734186472	0.092573298464351	0.0926081264515539	0.0922598523382084	0.0922103520073126	0.0920285502925046	0.0922729718244973	0.0921544866361974	0.0920660279853748	0.0916687224314442	0.0918020360786106	0.0911520973491773	0.0909939971115174	0.0909561616800731	0.0909843504552102	0.0910584689031079	0.0910714542778793	0.0910124557221207	0.0909589592321755	0.0916317019031079	0.0921520335648995	0.09256247976234	0.0935743391407678	0.0938201037458867	0.0941583393436929	0.0939885409670932	0.0940367235466179	0.0939293870164534	0.0939603255776965	0.0947859445338208	0.0956209314113346	0.0954382377879342	0.0957225270018282	0.0955047336380256	0.0940513170146252	0.0933417488117002	0.0933013443126143	0.0930628530511883	0.0927017511316271	0.0921349671042048	0.0920231678976234	0.0920754406946983	0.0918726547166362	0.0916455339670932	0.0920142956855576	0.0913986487915905	0.0920568471096892	0.0920283537111517	0.0918659886288848	0.0922797244954296	0.0928093903473492	0.0928683690859232	0.0922003158117002	0.0923132979707495	0.0923988637093236	0.0923680140566728	0.0932922037678245	0.0939814602193784	0.0936636184095064	0.0938450200182815	0.0940217830639854	0.0938823276581353	0.093871321464351	0.0937201917550274	0.0937282101645338	0.0935935641681901	0.0940201997239488	0.094318552833638	0.0943692293601463	0.0941002969670932	0.0934201472394881	0.0925704054259598	0.0919605896160877	0.0919651151352834	0.0917007483875686	0.0920062522303473	0.0919353281535649	0.0921303310786106	0.091298028464351	0.0913099278628885	0.0908632341846435	0.0906170649360146	0.0900443462888483	0.0894651813162706	0.0892323980054845	0.0894275868976234	0.0891154611700183	0.0889993065630713	0.0887017712778793	0.0884269284277879	0.088771264095064	0.0889809588500914	0.0891126152468007	0.0895004237294333	0.0888759359031079	0.0888331055758684	0.0884190891407678	0.0879597665795247	ESCC Tumor
0.046333726416819	0.0456099152833638	0.0457653821608775	0.0455464958427788	0.0454502792870201	0.0457893640182815	0.045895062976234	0.0456066766179159	0.0453390547714808	0.0454723559981718	0.0455114814625229	0.0450414001261426	0.0450925833473492	0.0453538020109689	0.0455863436288848	0.0461401723034735	0.046154340773309	0.0459868875502742	0.04574124288117	0.0454764155393053	0.0452301162595978	0.0453862397276051	0.0452615394936015	0.0450924822285192	0.0449667761809872	0.0449915105301645	0.0452318281718464	0.0454063802285192	0.045976588606947	0.0457622315539305	0.0452727772212066	0.045172127952468	0.0448431172705667	0.0443170876709324	0.0445995271334552	0.0446879666435101	0.0446541575685558	0.044664553285192	0.0446975568628885	0.0443874701608775	0.0443281548537477	0.0444984200457038	0.0441687421243144	0.0434680011700183	0.043508870606947	0.0433592675429616	0.0429246034917733	0.0428891115502742	0.0429949651919561	0.0429354238537477	0.0431190869232176	0.0430407288409506	0.043203411155393	0.0434537606160878	0.0431859578738574	0.0436609450201097	0.043654868047532	0.04380976588117	0.0436606652961609	0.0433862183199269	0.0435021932175503	0.0437108135466179	0.0438502885923218	0.0441562595904936	0.0440349413363803	0.0440849360329068	0.0438736564899452	0.0443307896014625	0.0444380662522852	0.0447183756489945	0.0446760751371115	0.0444792586106033	0.0444495410895795	0.0444637043875686	0.044735326928702	0.0451463541407678	0.0449812324149909	0.0450889918647166	0.0450575049451554	0.0444055981608775	0.0445281268043876	0.0448139814698355	0.0448331109579525	0.045143719606947	0.0452620604040219	0.0451842030402194	0.0449338144076782	0.0450858664862888	0.0448032339670932	0.0448067437458867	0.0450157932248629	0.0453041027367459	0.0450747272102377	0.0452520721882998	0.0454249789213894	0.0454569734369287	0.0463184811517367	0.0462198316563071	0.0461126712468007	0.0461424383912249	ESCC Tumor
0.0495875584277879	0.0495665379177331	0.0497881537367459	0.0501891223034735	0.0506930002414991	0.0505273440493601	0.0505022490676417	0.0504005151736746	0.0506229605669104	0.050808890606947	0.0507313725338208	0.0500838271848263	0.0502595926325411	0.0499480578795247	0.0500553459853748	0.0502028718729433	0.0500545158866545	0.0497929536967093	0.0492346367641682	0.0488095117330896	0.0485503895650823	0.0486514097989031	0.0486219657586837	0.0489766242961609	0.0493796187934186	0.0499346860658135	0.0507269288025594	0.0507052451005484	0.0506104351756856	0.0507263995612431	0.0498011188117002	0.0494088491389397	0.0491090719780622	0.0490963309506399	0.0492355589213894	0.0493038199085923	0.0490173178153565	0.0486208439670932	0.0480157858135283	0.0475591737477148	0.0470095042413163	0.0464420241681901	0.0461243603162706	0.0460650728702011	0.0460857201976234	0.0454680515760512	0.0458369726508227	0.0459655450457038	0.0459962948263254	0.0463460795680073	0.0467982398941499	0.0471600993784278	0.047035609833638	0.0476840994149909	0.047737981809872	0.0477748907787934	0.0481063797806216	0.048328569725777	0.0486078873674589	0.0486941689396709	0.0488693981462523	0.0487394699268739	0.0483374260694698	0.0485704207332724	0.0485119155468007	0.0488351758866545	0.0490679335575868	0.0490975599561243	0.0490576033016453	0.0488492284864717	0.0486684589433272	0.048414448190128	0.0483441356749543	0.0485034241133455	0.0482628160438757	0.0483462084277879	0.0481717208500914	0.048392184332724	0.0483190801243144	0.0484048345612431	0.0484287395173675	0.0483925015577697	0.0485337291371115	0.0485075929433272	0.0487995065486289	0.048558987166362	0.048901865274223	0.0492046030347349	0.0491934114259598	0.0496339838548446	0.0497967990621572	0.0496783578647166	0.0493322370201097	0.0494843589800731	0.0497546438117002	0.0505153267641682	0.0505112687277879	0.0506472863162706	0.0511834768074954	0.0512237139215722	ESCC Tumor
